Title,Level,Geographic,Year Agreed,Link,Sourcing Notes,Language,English available?,Plastic Types,Included in analysis?,Trade linked?,Filename,File link
446A.665 Opportunity to recycle rigid plastic containers,40_Subnational,"Oregon, United States",1991,https://www.oregonlegislature.gov/bills_laws/archive/2001ors459A.pdf,,English,Y,"Bottles,Bags",Y,N,13060_S_1991_446A_665_Opportunity_to_recycle_rigid_plastic_containers.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/13060_S_1991_446A_665_Opportunity_to_recycle_rigid_plastic_containers.pdf
"Act on the Promotion of Sorted Collection and Recycling of Containers and Packaging (Act No. 102 of June 16, 1995)",30_National,Japan,1995,https://www.meti.go.jp/policy/recycle/main/english/pamphlets/pdf/cReCont_2006.pdf,,English,Y,,Y,N,9021_N_1995_Act_on_the_Promotion.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/9021_N_1995_Act_on_the_Promotion.pdf
"Public Resource Code, Division 30 - Waste Management, Part 3 Chapter 5.6 - Plastic Ring Devices",40_Subnational,"California, United States",1996,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=PRC&division=30.&title=&part=3.&chapter=5.6.&article=,,English,Y,,Y,N,13061_S_1996_Plastic_Ring_Devices.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/13061_S_1996_Plastic_Ring_Devices.pdf
Stratégie Algérienne et Plan d’Action National d’Utilisation de la Diversité Biologique,30_National,Algeria,1997,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC147747/,,French,N,,N,N,12102_N_1997_Stratégie_Algérienne_et_Plan.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/12102_N_1997_Stratégie_Algérienne_et_Plan.pdf
Regulation on the prevention and recovery of packaging waste (Packaging Ordinance-Packaging Ordinance),30_National,Germany,1998,https://www.global-regulation.com/,<p>The Global-Regulations database is a subscription-based resource that provides translated laws (using machine learning) from over 100 countries. They have kindly allowed us to download and share PDF files of translated plastic policy documents in our database.</p>,English,Y,Bottles,Y,N,13133_N_1998_regulation_on_the_prevention.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/13133_N_1998_regulation_on_the_prevention.pdf
Marine Pollution Act 1999,40_Subnational,"Northern Territory, Australia",1999,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC044538/,,English,Y,,Y,N,15104_S_1999_Marine_Pollution_Act.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/15104_S_1999_Marine_Pollution_Act.pdf
EU Directive 2000/53/EC of the European Parliament and of the Council on End-of Life Vehicles,20_Regional,European Union,2000,http://extwprlegs1.fao.org/docs/pdf/eur123517.pdf,,English,Y,,Y,N,2207_I_2000_Directive_2000_53_EC.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2207_I_2000_Directive_2000_53_EC.pdf
Decision of the people's Government of Hainan Province on eliminating the white pollution,40_Subnational,"Hainan, China",2000,https://www.informea.org/en/legislation/decision-peoples-government-hainan-province-eliminating-white-pollution,,Chinese,N,,N,N,S_2266_S_2000_Decision_of_the_peoples.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/S_2266_S_2000_Decision_of_the_peoples.pdf
Act to Prevent Pollution from Ships (33 U.S.C.),30_National,United States,2000,http://extwprlegs1.fao.org/docs/pdf/usa144457.pdf,,English,Y,,Y,N,1046_N_2000_Act_to_prevent_pollution_from_ships.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/1046_N_2000_Act_to_prevent_pollution_from_ships.pdf
"China SETC ban on production and use of plastic tableware, 2001",30_National,China,2001,http://www.gov.cn/gongbao/content/2001/content_60799.htm,,Chinese,N,,N,N,2801_N_2001_ Ban_on_production_and_use_of_plastic_Tableware_files.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2801_N_2001_ Ban_on_production_and_use_of_plastic_Tableware_files.pdf
"Waste Management (Amendment) Act, 2001 (No. 36 of 2001)",30_National,Ireland,2001,http://extwprlegs1.fao.org/docs/html/ire35849.htm,,English,Y,Bags,Y,N,1080_N_2001_Waste_Management_Act.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/1080_N_2001_Waste_Management_Act.pdf
"Waste Management (Farm Plastics) Regulations, 2001 (S.I. No. 341 of 2001)",30_National,Ireland,2001,http://extwprlegs1.fao.org/docs/html/ire52986.htm,,English,Y,,Y,N,2219_N_2001_Waste_Management_Farm_Plastics.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2219_N_2001_Waste_Management_Farm_Plastics.pdf
"Waste Management (Environmental Levy) (Plastic Bag) Regulations, 2001 (S.I. No. 605 of 2001)",30_National,Ireland,2001,https://www.informea.org/en/legislation/waste-management-environmental-levy-plastic-bag-regulations-2001-si-no-605-2001,,English,Y,Bags,Y,N,3105_N_2001_Waste_Management_Environmental_Levy.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/3105_N_2001_Waste_Management_Environmental_Levy.pdf
Décret n°01 -394/p-rm fixant les modalités de gestion des déchets solides.,30_National,Mali,2001,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC049662/,,French,N,Packaging,N,N,12101_N_2001_Décret_n_01_394.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/12101_N_2001_Décret_n_01_394.pdf
Environment Protection (Polyethylene Terephthalate) (PET) Bottle Permit) Regulations 2001 (G.N. No. 33 of 2001),30_National,Mauritius,2001,https://environment.govmu.org/Documents/regulations/PET%20bottle%20permit%20regulations%20(GN%20No.%2033%20of%202001).pdf#search=Environment%20Protection%20%28Polyethylene%20Terephthalate%29%20%28PET%29%20Bottle%20Permit%29%20Regulations%202001%20%28G%2EN%2E%20No%2E%2033%20of%202001,,English,Y,Bottles,Y,N,4000_N_2001_Environment_protection_Polyethylene.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/4000_N_2001_Environment_protection_Polyethylene.pdf
Meghalaya Act No. 4 of 2001,40_Subnational,"Meghalaya, India",2001,http://extwprlegs1.fao.org/docs/pdf/ind195248.pdf,,English,Y,Bags,Y,N,4973_S_2001_Meghalaya_Act_No_4.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/4973_S_2001_Meghalaya_Act_No_4.pdf
Law No. 14.128 providing for the State Policy on Recycling of Materials and the economic and financial instruments applicable to the Management of Solid Waste.,40_Subnational,"Minas Gerais, Brazil",2001,http://extwprlegs1.fao.org/docs/pdf/bra168957.pdf,,Portuguese,N,,N,N,S_1035_S_2001_Law_no_14.128_providing_for_the.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/S_1035_S_2001_Law_no_14.128_providing_for_the.pdf
Prevention of Pollution of the Sea (Garbage) Regulations,30_National,Singapore,2001,http://extwprlegs1.fao.org/docs/texts/sin63969.doc,,English,Y,Bottles,Y,N,1052_N_2005_Prevention_of_Pollution.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/1052_N_2005_Prevention_of_Pollution.pdf
Antarctic Treaty (Environment Protection) (Waste Management) Regulations 1994.,30_National,Australia,2002,http://extwprlegs1.fao.org/docs/pdf/aus6380.pdf,,English,Y,,Y,N,4040_N_2002_Antarctic_Treaty.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/4040_N_2002_Antarctic_Treaty.pdf
"The Bangladesh Environment Conservation Act, 1995 Act No. 1 of 1995 ",30_National,Bangladesh,2002,https://plasticspolicy.port.ac.uk/policy-reviews/amendment-to-the-1995-bangladesh-environment-conservation-act/,,English,Y,Bags,Y,N,13124_N_2002_The_Bangladesh_Environment_Conservation.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/13124_N_2002_The_Bangladesh_Environment_Conservation.pdf
"Regulations to prohibit the Production, Sale or Distribution of Plastic Bags in Eritrea (L.N. No. 63 of 2003)",30_National,Eritrea,2002,https://www.ecolex.org/details/legislation/regulations-to-prohibit-the-production-sale-or-distribution-of-plastic-bags-in-eritrea-ln-no-63-of-2003-lex-faoc042429/?q=polyethylene&xdate_min=2000&xdate_max=2018,,Tigrinya,N,Bags,N,N,S_4026_N_2002_Regulations_to_prohibit_the_production.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/S_4026_N_2002_Regulations_to_prohibit_the_production.pdf
Décret n° 2002-1563 relatif à l'élimination des pneumatiques usagés.,30_National,France,2002,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC046779/,,French,Y,,N,N,12106_N_2002_Décret_n_2002_1563.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/12106_N_2002_Décret_n_2002_1563.pdf
Basel Convention 6/21 Technical Guidelines for the Identification and Environmentally Sound Management of Plastic Wastes and for their Disposal,10_International,Global,2002,https://www.informea.org/sites/default/files/decisions/basel/UNEP-CHW-COP.6-BC-VI-21.English.pdf,,English,Y,,Y,N,1003_I_2002_UNEP_Basel_Convention_6_21.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/1003_I_2002_UNEP_Basel_Convention_6_21.pdf
"Waste Products Recycling Fees Act, No. 162/2002",30_National,Iceland,2002,http://www.step-info.org/iceland-waste-products-recycling-fees-act-no-162-2002.html,,Icelandic,N,,N,N,S_2524_N_2002_Waste_Products_Recycling.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/S_2524_N_2002_Waste_Products_Recycling.pdf
"Restrictions on the Manufacture, Import, and Sale of Personal Care and Cosmetics Products Containing Plastic Microbeads",40_Subnational,"Taiwan, China",2017,https://oaout.epa.gov.tw/law/EngLawContent.aspx?lan=E&id=199&KW=plastic,,English,Y,Microplastics,Y,Y,1809_N_2017_Restrictions_Plastic_Microbeads.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/1809_N_2017_Restrictions_Plastic_Microbeads.pdf
Regulation on Plastic Bags (No. R. 543 of 2002),30_National,South Africa,2002,http://extwprlegs1.fao.org/docs/pdf/saf73144.pdf,,English,Y,Bags,Y,N,2280_N_2002_Plastic_bags_regulations.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2280_N_2002_Plastic_bags_regulations.pdf
"Tamil Nadu Plastic Articles (Prohibition of Sale, Storage, Transport and Use) Bill, 2002",40_Subnational,"Tamil Nadu, India",2002,https://www.informea.org/en/legislation/tamil-nadu-plastic-articles-prohibition-sale-storage-transport-and-use-act-2002,,English,Y,,Y,N,2281_S_2002_Tamil_Nadu.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2281_S_2002_Tamil_Nadu.pdf
Derelict Fishing Gear ,40_Subnational,"Washington, United States",2002,https://wdfw.wa.gov/species-habitats/habitat-recovery/derelict-gear,,English,Y,,Y,N,13004_S_2002_Derelict_Fishing_Gear.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/13004_S_2002_Derelict_Fishing_Gear.pdf
Decree No. 12 on collection and recycling of plastic waste,30_National,Belarus,2003,https://www.informea.org/en/legislation/decree-no-12-collection-and-recycling-plastic-waste,,Russian,N,,N,N,S_2267_N_2003_Decree_no_12_on_collection.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/S_2267_N_2003_Decree_no_12_on_collection.pdf
Decree No. 261 of the Cabinet of Ministers regulating some issues plastic waste management,30_National,Belarus,2003,https://www.informea.org/en/legislation/decree-no-261-cabinet-ministers-regulating-some-issues-plastic-waste-management,,Russian,N,,N,N,S_2269_N_2003_Decree_no_261_of_the_cabinet.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/S_2269_N_2003_Decree_no_261_of_the_cabinet.pdf
Antarctic Protection Act (S.C. 2003 c.20),30_National,Canada,2003,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC080516,,English,Y,,Y,N,3036_N_2003_Antarctic_Protection_Act.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/3036_N_2003_Antarctic_Protection_Act.pdf
Antarctic Environmental Protection Regulations (SOR/2003-363),30_National,Canada,2003,http://extwprlegs1.fao.org/docs/pdf/can80517.pdf,,English,Y,,Y,N,4103_N_2003_Antractic_Environmental_Protection.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/4103_N_2003_Antractic_Environmental_Protection.pdf
Notification of the Ministry of Environment and Forests,30_National,India,2003,https://www.ecolex.org/details/legislation/notification-of-the-ministry-of-environment-and-forests-matheran-and-surrounding-region-as-an-eco-sensitive-zone-lex-faoc052267/?xdate_max=2018&type=legislation&xdate_min=2000&q=plastic&page=49,,English,Y,Bags,Y,N,2222_N_2003_Notification_of_the_Ministry.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2222_N_2003_Notification_of_the_Ministry.pdf
Legislative Decree No. 182 implementing Directive 2000/59/EC on port reception facilities for ship-generated waste and cargo residues,30_National,Italy,2003,https://www.ecolex.org/details/legislation/legislative-decree-no-182-implementing-directive-200059ec-on-port-reception-facilities-for-ship-generated-waste-and-cargo-residues-lex-faoc039013/?q=italy+ship+generated+waste+,,Italian,N,,N,N,S_2602_N_2003_Legislative_decree_no_182.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/S_2602_N_2003_Legislative_decree_no_182.pdf
Makati City: Ordinance No. 03-095,40_Subnational,"Makati City, Philippines",2003,https://www.makati.gov.ph/content/resolutions-and-ordinances/category/waste-management/ecd77eff-2e1b-8f41-a55d-307ba22ed671?type=all,,English,Y,"Bags,SUPs",Y,N,5999_S_2003_Makati_City_Ordinance_No_03-095.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/5999_S_2003_Makati_City_Ordinance_No_03-095.pdf
Leyde Ventrimientos en las Zonas Marinas Mexicanos,30_National,Mexico,2003,http://www.diputados.gob.mx/LeyesBiblio/pdf/LVZMM_130420.pdf,,Spanish,N,,N,N,5978_N_2003_Leyde_Ventrimientos_en_las_Zonas_Marinas_Mexicanos.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/5978_N_2003_Leyde_Ventrimientos_en_las_Zonas_Marinas_Mexicanos.pdf
General Law for Prevention and Integrated Management of Waste,30_National,Mexico,2003,https://www.global-regulation.com/,<p>The Global-Regulations database is a subscription-based resource that provides translated laws (using machine learning) from over 100 countries. They have kindly allowed us to download and share PDF files of translated plastic policy documents in our database.</p>,English,Y,,Y,N,5979_N_2003_General_Law_for.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/5979_N_2003_General_Law_for.pdf
Marine Pollution Regulations,40_Subnational,"Northern Territory, Australia",2003,http://extwprlegs1.fao.org/docs/pdf/nt44613.pdf,,English,Y,,Y,N,1081_S_2003_Marine_Pollution.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/1081_S_2003_Marine_Pollution.pdf
Litter Control Designation Regulations (R.R.S. c. L-22 Reg. 5).,40_Subnational,"Saskatchewan, Canada",2003,http://extwprlegs1.fao.org/docs/pdf/sk82204.pdf,,English,Y,Bottles,Y,N,1043_S_1998_Litter_Control_Designation.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/1043_S_1998_Litter_Control_Designation.pdf
Regulation on Plastic Carrier Bags and Plastic Flat Bags (No. R. 625 of 2003),30_National,South Africa,2003,http://extwprlegs1.fao.org/docs/pdf/saf73211.pdf,,English,Y,Bags,Y,N,2277_N_2003_Plastic_Carrier_Bags.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2277_N_2003_Plastic_Carrier_Bags.pdf
"An Ordinance of the City Council of the City of Aliso Viejo, California, Prohibiting the Use of Expanded Polystyrene Food Service Product Within City Facilities and at Special Events",40_Subnational,"Aliso Viejo, California",2004,https://www.codepublishing.com/CA/AlisoViejo/ords/Ord%202004-060.pdf,,English,Y,,Y,N,9085_S_2004_Ordinance_of_the_City_Council.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/9085_S_2004_Ordinance_of_the_City_Council.pdf
Decree No. 9 of the Ministry of Natural Resources regarding plastic waste,30_National,Belarus,2004,https://www.informea.org/en/legislation/decree-no-9-ministry-natural-resources-regarding-plastic-waste,,Russian,N,,N,N,S_2268_N_2004_Decree_no_9_of_the_ministry.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/S_2268_N_2004_Decree_no_9_of_the_ministry.pdf
Arrete Interministeriel Anne 2004 No 079/MEHU/MFE/DC/SG/DE/SLRCCAME/DLRE/SA,30_National,Benin,2004,http://extwprlegs1.fao.org/docs/pdf/ben146470.pdf,,French,Y,,Y,N,2513_TR_Final_Benin_Policy_1.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2513_TR_Final_Benin_Policy_1.pdf
Arrete Interministeriel Anne 2004 No 077/MEHU/MFE/DC/SG/DE/SLRCCAME/DLRE/SA,30_National,Benin,2004,http://extwprlegs1.fao.org/docs/pdf/ben146469.pdf,,French,Y,,Y,N,2514_TR_Final_Benin_Policy.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2514_TR_Final_Benin_Policy.pdf
Recycling Regulation,40_Subnational,"British Columbia, Canada",2004,https://www.bclaws.gov.bc.ca/civix/document/id/crbc/crbc/449_2004,,English,Y,"Bottles,SUPs,Bags",Y,N,14006_S_2004_Recycling_Regulation.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/14006_S_2004_Recycling_Regulation.pdf
Ordinance on Packaging and Packaging Waste,30_National,Bulgaria,2004,http://extwprlegs1.fao.org/docs/pdf/bul69022.pdf,,English,Y,,Y,N,4033_N_2005_Ordinance_on_Packaging.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/4033_N_2005_Ordinance_on_Packaging.pdf
Plan de gestion intégrée de la zone côtière de Djibouti.,30_National,Djibouti,2004,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC161729/,,French,N,,N,N,12100_N_2004_Plan_de_gestion_intégrée.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/12100_N_2004_Plan_de_gestion_intégrée.pdf
The Legal notice for banning of plastic bags (notice No. 99/2004),30_National,Eritrea,2004,https://www.cbd.int/doc/world/er/er-nbsap-v2-en.pdf,,Tigrinya,N,Bags,N,N,S_2261_N_2004_the_legal_notice_for_banning.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/S_2261_N_2004_the_legal_notice_for_banning.pdf
EU Directive 2004/12/EC of the European Parliament and of the Council on Packaging and Packaging Waste,20_Regional,European Union,2004,http://extwprlegs1.fao.org/docs/pdf/eur41140.pdf,,English,Y,,Y,N,1079_I_2004_Packaging_Waste.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/1079_I_2004_Packaging_Waste.pdf
Decision Of Haikou Municipal People's Government On The Modification Of The Measures For The Prevention And Control Of Disposable Plastic Products In Haikou City,40_Subnational,"Haikou City, China",2004,https://www.global-regulation.com/,<p>The Global-Regulations database is a subscription-based resource that provides translated laws (using machine learning) from over 100 countries. They have kindly allowed us to download and share PDF files of translated plastic policy documents in our database.</p>,Chinese,Y,"Bags,SUPs,Packaging",Y,N,13068_S_2004_Decision_of_Haikou_Municapal_Peoples_Government_On_the_Modification.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/13068_S_2004_Decision_of_Haikou_Municapal_Peoples_Government_On_the_Modification.pdf
Subsidiary Legislation 234.33 - Merchant Shipping (Prevention of Pollution by Garbage) Regulations,30_National,Malta,2004,http://extwprlegs1.fao.org/docs/pdf/mlt41818.pdf,,English,Y,,Y,N,1036_N_2004_Merchant_Shipping.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/1036_N_2004_Merchant_Shipping.pdf
Eco-Contribution Act (CAP 473),30_National,Malta,2004,http://www.justiceservices.gov.mt/DownloadDocument.aspx?app=lom&itemid=8939&l=1,,English,Y,"Bags,Bottles",Y,N,2532_N_2004_Eco_contribution.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2532_N_2004_Eco_contribution.pdf
"Environmental Management Act, 2004 (No. 20 of 2004)",30_National,Tanzania,2004,http://extwprlegs1.fao.org/docs/pdf/tan61491.pdf,,English,Y,"Bags,Bottles",Y,N,4131_N_2005_Environental_Management_Act.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/4131_N_2005_Environental_Management_Act.pdf
Merchant Shipping (Prevention of Pollution by Garbage) Regulations 2005,40_Subnational,"Bermuda, United Kingdom",2005,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC091019,,English,Y,Bottles,Y,N,3027_S_2005_Merchant_shipping_regulations.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/3027_S_2005_Merchant_shipping_regulations.pdf
"Prevention of Pollution of the Sea Order, 2005",30_National,Brunei Darussalam,2005,http://extwprlegs1.fao.org/docs/pdf/bru85145.pdf,,English,Y,,Y,N,2223_N_2005_Prevention_of_Pollution.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2223_N_2005_Prevention_of_Pollution.pdf
Excessive Product Packaging Restrictions,30_National,China,2005,http://extwprlegs1.fao.org/docs/pdf/tw164279.pdf,,English,Y,,Y,N,1066_N_2005_Excessive_Packaging.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/1066_N_2005_Excessive_Packaging.pdf
Provisions of the People's Republic of China on the Prevention and Control of Vessel Pollution of the Inland Water Environment,30_National,China,2005,https://www.ecolex.org/details/legislation/provisions-of-the-peoples-republic-of-china-on-the-prevention-and-control-of-vessel-pollution-of-the-inland-water-environment-lex-faoc061393/?xdate_max=2018&type=legislation&xdate_min=2000&q=plastic&page=37,,English,Y,,Y,N,2239_N_2005_Provisions_of_the_peoples.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2239_N_2005_Provisions_of_the_peoples.pdf
EU Directive 2005/20/EC of the European Parliament and of the EU Council on Packaging and Packaging Waste,20_Regional,European Union,2005,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32005L0020&from=EN,,English,Y,,Y,N,4411_I_2005_Directive_2005.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/4411_I_2005_Directive_2005.pdf
Natural Resource Tax Law ,30_National,Latvia,2005,https://www.ecolex.org/details/legislation/natural-resources-tax-law-lex-faoc073610/?q=Natural+Resource+Tax+Law+&type=legislation&xdate_min=&xdate_max=,,English,Y,,Y,N,4453_N_2005_Natural_Resource_Tax_Law.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/4453_N_2005_Natural_Resource_Tax_Law.pdf
Protection of the Environment Operations (Waste) Regulation 2005,40_Subnational,"New South Wales, Australia",2005,https://www.ecolex.org/details/legislation/protection-of-the-environment-operations-waste-regulation-2005-lex-faoc053815/?xdate_max=2018&type=legislation&xdate_min=2000&q=marine+debris&page=14,,English,Y,Bags,Y,N,2070_S_2005_Protection_of_the_Environment.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2070_S_2005_Protection_of_the_Environment.pdf
PERSGA Protocol Concerning the Protection of the Environment from Land-Based Activities in in the Red Sea and Gulf of Aden,20_Regional,Red Sea and Gulf of Aden,2005,http://www2.ecolex.org/server2neu.php/libcat/docs/TRE/Full/En/TRE160049.pdf,,English,Y,,Y,N,2097_I_2005_The_Protocol_Concerning_the_protection.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2097_I_2005_The_Protocol_Concerning_the_protection.pdf
"Marine Plastic Debris (Title 79, Chapter 79.145 RCW)",40_Subnational,"Washington, United States",2005,https://app.leg.wa.gov/RCW/default.aspx?cite=79.145,,English,Y,,Y,N,13055_S_2005_Marine_Plastic_Debris.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/13055_S_2005_Marine_Plastic_Debris.pdf
Regulation on the Prevention and Recovery of Packaging Waste and Specific Waste Products (Packaging Regulation of 1996),30_National,Austria,2006,http://www.b2bweee.com/files/legislation/austriapackaging_en.pdf,,English,Y,Bottles,Y,N,2509_N_2002_ Prevention_and_Recovery.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2509_N_2002_ Prevention_and_Recovery.pdf
EU Regulation No 1013/2006 of the European Parliament and of the Council on Shipments of Waste,20_Regional,European Union,2006,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX%3A32006R1013,,English,Y,,Y,N,4418_I_2006_Regulation_EC_No_1013_2006.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/4418_I_2006_Regulation_EC_No_1013_2006.pdf
Decree No. 202 of the Ministry of the Environment - Rules on the standards of product packaging materials and products,30_National,"Korea, Republic of",2006,https://www.ecolex.org/details/legislation/decree-no-202-establishing-rules-on-the-standards-of-product-packaging-materials-and-products-lex-faoc080331/?q=Polystyrene&xdate_min=2000&xdate_max=2018&page=3,,English,Y,,Y,N,4096_N_2006_Decree_No_202.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/4096_N_2006_Decree_No_202.pdf
Règlement grand-ducal modifiant le règlement grand-ducal modifié du 31 octobre 1998 portant application de la directive 94/62/CE du Parlement Européen et du Conseil du 20 décembre 1994 relative aux emballages et aux déchets d’emballages,30_National,Luxembourg,2006,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC088030/,,French,Y,Packaging,N,N,12099_N_2006_Règlement_grand_ducal_modifiant.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/12099_N_2006_Règlement_grand_ducal_modifiant.pdf
Regulation on the Protection and Conservation of Environment in the Tourism Industry,30_National,Maldives,2006,https://www.tourism.gov.mv/dms/document/2d56cd76d0564fa52c9365821bf4ed36.pdf,,English,Y,,Y,N,9046_N_2006_Regulation_on_the_Protection.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/9046_N_2006_Regulation_on_the_Protection.pdf
Recycling Act,30_National,Palau,2006,https://countrysafeguardsystems.net/sites/default/files/Palau%20Recycling%20Act%202006.pdf,,English,Y,,Y,N,2805_N_2006_Recycling_Act.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2805_N_2006_Recycling_Act.pdf
Plastic Bag Prohibition on Importation Regulations 2006,30_National,Samoa,2006,https://www.informea.org/en/legislation/plastic-bag-prohibition-importation-regulations-2006,,English,Y,Bags,Y,N,2265_N_2006_Plastic_Bag_Prohibition.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2265_N_2006_Plastic_Bag_Prohibition.pdf
"The Sindh Prohibition on Manufacture, Sale and Use of Polythene Bags Act",40_Subnational,"Sindh, Pakistan",2006,http://www.pas.gov.pk/uploads/acts/Sindh%20Act%20No.XV%20of%202006.pdf,,English,Y,Bags,Y,N,9033_S_2006_The_Sindh_Prohibition.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/9033_S_2006_The_Sindh_Prohibition.pdf
Prohibition of Polythene or any polythene product of 20 micron or below in thickness,30_National,Sri Lanka,2006,http://www.cea.lk/web/images/pdf/wastemanagement/reg1466-5.pdf,,English,Y,,Y,N,2811_N_2006_Prohibition_of_polythene.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/2811_N_2006_Prohibition_of_polythene.pdf
"Marine Debris Research, Prevention and Reduction Act, 2006",30_National,United States,2006,https://www.congress.gov/bill/109th-congress/senate-bill/362,,English,Y,,Y,N,1507_N_2006_Marine_Debris_Research_Prevention_Reduction_Act.pdf,https://nicholasinstitute.duke.edu/sites/default/files/plastics-policies/1507_N_2006_Marine_Debris_Research_Prevention_Reduction_Act.pdf
